,season,team_gen_id,cyclists in team,cyclists in strava,cyclists in team in strava,number of stages,number of races
67,2010.0,50035.0,26.0,9.0,0.35,12.0,5.0
221,2011.0,50035.0,30.0,13.0,0.43,25.0,9.0
384,2012.0,50035.0,32.0,14.0,0.44,21.0,11.0
566,2013.0,50035.0,32.0,15.0,0.47,147.0,52.0
735,2014.0,50035.0,33.0,16.0,0.48,147.0,52.0
913,2015.0,50035.0,32.0,19.0,0.59,147.0,52.0
1101,2016.0,50035.0,33.0,22.0,0.67,147.0,52.0
1305,2017.0,50035.0,32.0,22.0,0.69,147.0,52.0
1512,2018.0,50035.0,31.0,23.0,0.74,148.0,65.0
1716,2019.0,50035.0,32.0,24.0,0.75,148.0,65.0
1911,2020.0,50035.0,30.0,21.0,0.7,148.0,65.0
2087,2021.0,50035.0,30.0,21.0,0.7,148.0,65.0
2259,2022.0,50035.0,28.0,22.0,0.79,148.0,65.0
88,2010.0,64403.0,28.0,10.0,0.36,14.0,7.0
241,2011.0,64403.0,28.0,12.0,0.43,54.0,22.0
409,2012.0,64403.0,29.0,14.0,0.48,54.0,22.0
589,2013.0,64403.0,30.0,15.0,0.5,52.0,18.0
761,2014.0,64403.0,31.0,19.0,0.61,52.0,18.0
937,2015.0,64403.0,29.0,22.0,0.76,116.0,48.0
1129,2016.0,64403.0,28.0,19.0,0.68,116.0,48.0
1332,2017.0,64403.0,30.0,18.0,0.6,116.0,48.0
1540,2018.0,64403.0,27.0,20.0,0.74,116.0,48.0
1742,2019.0,64403.0,28.0,22.0,0.79,115.0,41.0
1932,2020.0,64403.0,27.0,19.0,0.7,115.0,41.0
2111,2021.0,64403.0,29.0,19.0,0.66,115.0,41.0
2284,2022.0,64403.0,29.0,21.0,0.72,115.0,41.0
107,2010.0,71970.0,31.0,5.0,0.16,275.0,114.0
262,2011.0,71970.0,30.0,6.0,0.2,275.0,114.0
429,2012.0,71970.0,32.0,8.0,0.25,275.0,114.0
605,2013.0,71970.0,32.0,12.0,0.38,275.0,114.0
782,2014.0,71970.0,33.0,15.0,0.45,275.0,114.0
958,2015.0,71970.0,33.0,16.0,0.48,275.0,114.0
1149,2016.0,71970.0,33.0,17.0,0.52,275.0,114.0
1352,2017.0,71970.0,33.0,24.0,0.73,275.0,114.0
1557,2018.0,71970.0,32.0,24.0,0.75,275.0,114.0
1760,2019.0,71970.0,32.0,25.0,0.78,275.0,114.0
1948,2020.0,71970.0,32.0,24.0,0.75,275.0,114.0
2127,2021.0,71970.0,34.0,27.0,0.79,110.0,52.0
2296,2022.0,71970.0,29.0,27.0,0.93,110.0,52.0
